"","cadmium","copper","lead","zinc","elev","dist","om","ffreq","soil","lime","landuse","dist.m","x","y","optional"
"109",0.4,23,48,143,9.879,0.619513,6.6,"2","3","0","Am",760,5.74405388139924,50.9698006952178,TRUE
"110",0.2,23,51,136,9.097,0.684725,4.3,"2","2","0","Ah",750,5.74542036966897,50.9716122263729,TRUE
"111",0.2,18,50,117,9.095,0.809742,5.3,"2","3","0","Fw",1000,5.74954073524401,50.9723724483782,TRUE
"112",0.4,20,39,113,9.717,0.880389,4.1,"2","3","0","Ah",860,5.74776752106001,50.96954649084,TRUE
"113",0.2,22,48,130,9.924,0.749591,6.1,"2","3","0","Ah",680,5.74701360316762,50.9677960073605,TRUE
"114",0.2,27,64,192,9.404,0.575752,7.5,"2","3","0","Fw",500,5.74469637127722,50.9663649670125,TRUE
"115",0.4,25,84,240,10.52,0.581484,8.8,"2","3","0","STA",650,5.74138719933494,50.967354923591,TRUE
"116",0.2,30,67,221,8.84,0.49452,5.7,"2","3","0","DEN",630,5.73986466990306,50.9674404709143,TRUE
"117",0.2,23,49,140,8.472,0.32058,6.1,"2","3","0","Fw",410,5.73821482017712,50.969503933912,TRUE
"118",0.2,24,48,128,9.634,0.336851,7.1,"2","3","0","Ah",390,5.73927477378635,50.9703546576293,TRUE
"119",0.2,21,56,166,9.206,0.249852,4.1,"2","2","0","Ah",310,5.73908890078217,50.9721170397225,TRUE
"120",0.2,24,65,191,8.47,0.0756869,6,"2","1","0","Ah",70,5.7352295226803,50.9719579158849,TRUE
"121",0.2,21,84,232,8.463,0.0756869,6.6,"2","1","0","W",70,5.73634968829575,50.9732399507463,TRUE
"122",0.2,23,75,203,9.691,0.162853,6.8,"2","1","1","STA",150,5.73806938330502,50.9747179147867,TRUE
"124",3.7,53,250,722,8.704,0.0974916,9.1,"2","2","0","Bw",80,5.74761229105811,50.9624277925778,TRUE
"125",0.2,33,81,210,9.42,0.440142,5.9,"2","2","0","Ah",450,5.74545176314163,50.9756571186268,TRUE
"126",0.2,22,72,198,9.573,0.4619,4.9,"2","2","0","Aa",530,5.74355004555877,50.9746112894055,TRUE
"127",0.2,23,86,139,9.555,0.222701,7.1,"2","1","0","W",240,5.74026068439739,50.9764101493103,TRUE
"128",0.2,25,94,253,8.779,0.103024,8.1,"2","1","1","Tv",70,5.73805628282554,50.9767404485262,TRUE
"129",1.2,30,244,703,8.54,0.0921353,8.3,"2","1","0","Fw",70,5.74101641736654,50.9784123592549,TRUE
"130",2.4,47,297,832,8.809,0.0484884,10,"2","1","0","Ah",60,5.74695046224039,50.9797873506923,TRUE
"131",0.2,31,96,262,9.523,0.168331,5.9,"2","1","0","Ah",190,5.74468707667693,50.9780325423074,TRUE
"132",0.2,20,56,142,9.811,0.38581,5,"2","2","0","Ah",450,5.74973080069763,50.9766325764767,TRUE
"133",0.2,16,49,119,9.604,0.489064,4.5,"2","2","0","Am",550,5.74994977567117,50.9755082823092,TRUE
"134",0.2,17,50,152,9.732,0.57602,5.4,"2","2","0","Am",650,5.74807608555067,50.9744174950464,TRUE
"135",0.4,26,148,415,9.518,0.0812194,2.3,"2","1","0","Am",100,5.75550980203048,50.9871223290827,TRUE
"136",1.6,34,162,474,9.72,0.0373369,7.5,"2","1","0","W",170,5.75318605973489,50.9850263000729,TRUE
"161",0.8,18,37,126,9.036,0.771698,4.6,"2","3","1","Ah",860,5.74595972807204,50.969570084074,TRUE
"162",1.2,23,80,210,9.528,0.336829,5.8,"2","2","0","W",410,5.74561437945596,50.9764296578442,TRUE
"137",0.2,20,80,220,9.155,0.228123,4.4,"3","1","0","Aa",290,5.75636110509254,50.9849443120433,TRUE
"138",0.2,14,49,133,10.08,0.597761,4.4,"3","2","0","Am",680,5.7497841244298,50.9743582261178,TRUE
"140",0.8,46,42,141,9.97,0.44558,4.5,"3","2","0","Am",540,5.74192818556248,50.9710656680312,TRUE
"141",1,29,48,158,10.136,0.396675,5.2,"3","2","0","Am",480,5.74057003852211,50.9703237452531,TRUE
"142",0.8,19,41,129,10.32,0.581478,4.6,"3","3","0","W",720,5.74296392685375,50.9687613411206,TRUE
"143",1.2,31,73,206,9.041,0.287966,6.9,"3","1","0","W",380,5.7305320116308,50.964385343225,TRUE
"144",2,27,146,451,7.86,0.233596,7,"3","1","0","W",310,5.72930674496926,50.964236159703,TRUE
"145",1.5,29,95,296,8.741,0.364067,5.4,"3","1","0","Ah",430,5.73002413935026,50.9630834637602,TRUE
"146",1.1,22,72,189,7.822,0.331454,6.2,"3","1","0","Ah",370,5.7321474412756,50.9595984683956,TRUE
"147",0.8,20,51,154,7.78,0.211846,5,"3","1","0","Fw",290,5.73528038358116,50.9598228012411,TRUE
"148",0.8,20,54,169,8.121,0.103029,5.1,"3","1","0","W",150,5.73660927956852,50.9586322684186,TRUE
"149",2.1,29,136,403,8.231,0.070355,8.1,"3","1","0","Bw",70,5.73510587658979,50.9574412779348,TRUE
"150",2.5,38,170,471,8.351,0.146576,8,"3","1","0","Bw",220,5.73357307086976,50.958012172479,TRUE
"151",3.8,39,179,612,7.3,0.0537723,8.8,"3","1","0","W",80,5.73225323471614,50.9566138520321,TRUE
"152",3.2,35,200,601,7.536,0.119286,9.3,"3","1","0","W",120,5.72910928777653,50.956793968865,TRUE
"153",3.1,42,258,783,7.706,0.0921435,8.4,"3","1","0","Ah",120,5.72572798754482,50.9576039145765,TRUE
"154",1.5,24,93,258,8.07,0.249863,7.7,"3","1","0","Am",260,5.73069951288422,50.9582005118259,TRUE
"155",1.2,20,68,214,8.226,0.37494,5.7,"3","1","0","Ah",440,5.72921791320759,50.9599307592545,TRUE
"156",0.8,20,49,166,8.128,0.423837,4.7,"3","1","0","Am",540,5.73141645690526,50.9608231289454,TRUE
"157",3.1,39,173,496,8.577,0.423837,9.1,"3","1","0","Ah",520,5.73001472884631,50.9618160626212,TRUE
"158",2.1,31,119,342,8.429,0.27709,6.5,"3","1","0","Ah",350,5.72702698628839,50.9619956595548,TRUE
"159",0.8,21,51,162,9.406,0.358606,5.7,"3","1","0","W",460,5.73544365845197,50.9625998680199,TRUE
"164",2.7,27,124,375,8.261,0.0122243,5.5,"3","3","0","W",40,5.75195524139862,50.9608321506575,TRUE
